user_id,timestamp,page,device_type,purchase_amount
user_41,11-01-2025 03:12,home,tablet,
user_48,10-01-2025 07:54,home,,
user_14,22-01-2025 04:15,home,desktop,146.04
user_15,10-02-2025 21:18,cart,mobile,
user_45,08-02-2025 11:12,cart,tablet,39.54
user_7,09-01-2025 10:36,checkout,mobile,78.21
user_39,25-01-2025 01:51,home,,111.88
user_6,20-02-2025 05:57,cart,tablet,
user_3,02-03-2025 04:33,product,tablet,
user_7,04-02-2025 14:23,cart,,130.78
user_11,03-02-2025 16:40,cart,desktop,
user_39,27-02-2025 19:07,product,desktop,41.05
user_18,28-02-2025 06:06,product,tablet,
user_15,03-01-2025 22:07,cart,,
user_37,07-03-2025 08:18,cart,desktop,134.53
user_42,11-02-2025 18:22,product,tablet,36.53
user_48,23-02-2025 05:02,checkout,,
user_33,14-02-2025 22:06,home,mobile,
user_41,15-01-2025 13:29,checkout,mobile,83.11
user_34,23-01-2025 21:13,home,mobile,139.52
user_50,28-02-2025 08:12,cart,mobile,
user_30,01-01-2025 07:05,cart,desktop,
user_41,28-01-2025 03:57,product,desktop,
user_35,18-02-2025 06:34,home,tablet,
user_24,28-01-2025 23:46,product,mobile,
user_6,08-03-2025 14:52,checkout,mobile,
user_9,02-03-2025 01:14,checkout,desktop,60.36
user_14,19-02-2025 02:06,product,tablet,85.81
user_29,17-02-2025 02:39,checkout,mobile,
user_22,02-01-2025 21:57,product,desktop,
user_15,07-01-2025 03:14,home,tablet,
user_18,02-03-2025 21:24,checkout,desktop,112.45
user_16,13-02-2025 01:13,checkout,desktop,27.92
user_23,08-02-2025 13:19,checkout,,
user_44,01-03-2025 11:29,home,mobile,86.5
user_7,23-01-2025 15:11,product,desktop,
user_28,17-01-2025 16:50,cart,,
user_29,20-02-2025 02:12,home,mobile,
user_6,10-03-2025 14:11,product,desktop,87.22
user_14,06-02-2025 12:05,home,desktop,82
user_17,11-02-2025 09:58,cart,,142.35
user_10,18-01-2025 06:50,cart,desktop,
user_48,29-01-2025 13:04,home,mobile,
user_4,16-02-2025 05:22,home,desktop,
user_44,22-01-2025 09:48,checkout,mobile,
user_38,24-02-2025 02:44,home,mobile,89.65
user_17,19-01-2025 14:12,cart,desktop,
user_43,28-02-2025 18:07,cart,,
user_1,11-02-2025 17:08,home,mobile,112.15
user_9,01-02-2025 18:25,home,desktop,
user_29,19-02-2025 10:40,cart,mobile,136.89
user_43,10-01-2025 10:17,product,tablet,
user_48,20-02-2025 08:32,product,tablet,
user_46,01-02-2025 05:02,product,tablet,106.03
user_4,09-01-2025 09:37,checkout,tablet,18.38
user_50,12-01-2025 21:46,cart,desktop,150.83
user_36,01-01-2025 21:07,home,mobile,
user_35,04-01-2025 06:42,cart,desktop,
user_20,03-02-2025 04:35,home,tablet,
user_43,10-01-2025 08:33,cart,,
user_16,15-01-2025 18:59,product,,14.71
user_27,02-03-2025 23:26,product,tablet,
user_25,04-01-2025 12:35,checkout,desktop,47.92
user_23,28-01-2025 18:41,product,desktop,
user_26,30-01-2025 21:05,cart,mobile,193.71
user_23,28-02-2025 09:20,checkout,tablet,
user_17,17-01-2025 06:05,cart,mobile,30.6
user_23,08-03-2025 07:31,cart,,
user_25,22-02-2025 11:34,product,tablet,18.43
user_1,17-02-2025 07:46,product,tablet,91.95
user_40,29-01-2025 13:45,home,tablet,106.35
user_21,06-02-2025 15:03,cart,desktop,46.45
user_44,10-03-2025 02:19,product,tablet,
user_20,27-01-2025 02:46,product,,159.29
user_30,10-02-2025 05:05,checkout,desktop,
user_43,08-01-2025 17:14,cart,tablet,
user_44,29-01-2025 06:07,product,desktop,
user_16,13-02-2025 05:57,home,,
user_46,05-03-2025 09:12,checkout,,
user_42,04-03-2025 14:08,home,mobile,
user_12,05-03-2025 08:14,checkout,mobile,
user_30,13-01-2025 03:17,checkout,tablet,190.51
user_40,07-03-2025 11:16,checkout,,180.47
user_29,24-01-2025 14:12,product,tablet,155.5
user_41,22-01-2025 18:38,cart,,24.72
user_16,25-01-2025 17:34,cart,tablet,
user_9,14-01-2025 17:29,product,,
user_5,07-02-2025 18:17,checkout,tablet,113.1
user_4,19-01-2025 19:50,checkout,,
user_49,22-02-2025 09:36,checkout,,11.12
user_20,10-03-2025 13:59,checkout,,
user_32,20-01-2025 23:20,cart,,102.27
user_22,02-03-2025 21:10,checkout,desktop,
user_40,18-02-2025 14:48,home,,
user_6,28-02-2025 12:06,checkout,desktop,
user_4,24-01-2025 16:19,checkout,tablet,50.22
user_22,11-03-2025 06:55,checkout,tablet,152.88
user_17,08-01-2025 10:55,checkout,mobile,
user_23,21-01-2025 09:49,home,mobile,
user_13,02-01-2025 20:31,product,desktop,
user_37,20-01-2025 20:09,checkout,tablet,
user_39,25-02-2025 06:33,home,desktop,
user_38,03-01-2025 08:05,cart,,
user_5,23-02-2025 21:27,product,mobile,142.47
user_44,24-02-2025 15:37,home,mobile,75.97
user_43,03-02-2025 17:31,home,tablet,12.4
user_32,10-01-2025 14:33,checkout,tablet,130.76
user_46,14-01-2025 22:12,checkout,desktop,149.42
user_40,18-02-2025 23:39,checkout,,92.76
user_21,23-01-2025 08:17,home,tablet,
user_49,12-02-2025 07:10,checkout,tablet,15.45
user_12,14-02-2025 09:04,product,tablet,161.59
user_18,24-02-2025 06:19,cart,mobile,
user_6,22-01-2025 23:15,checkout,,
user_45,13-02-2025 08:02,checkout,,
user_19,21-01-2025 04:05,checkout,desktop,68.18
user_31,20-02-2025 09:04,cart,,199.36
user_23,05-03-2025 23:24,checkout,tablet,
user_8,07-03-2025 15:40,product,tablet,
user_13,20-01-2025 16:41,checkout,tablet,147.67
user_7,18-01-2025 16:03,cart,desktop,78.57
user_1,06-03-2025 10:41,product,tablet,
user_36,27-01-2025 14:10,product,,
user_37,26-01-2025 21:08,checkout,,
user_4,23-01-2025 23:32,checkout,mobile,166.2
user_32,07-01-2025 17:50,home,desktop,38.35
user_6,23-01-2025 14:10,home,,
user_50,17-02-2025 13:34,checkout,,182.62
user_38,09-02-2025 00:47,cart,mobile,
user_49,19-01-2025 21:55,product,tablet,
user_16,16-01-2025 19:42,home,desktop,10.51
user_45,24-02-2025 01:12,checkout,tablet,16.2
user_46,26-01-2025 17:36,checkout,mobile,140.6
user_41,23-02-2025 16:24,product,,
user_42,14-01-2025 13:28,cart,desktop,
user_20,24-02-2025 03:53,cart,,33.63
user_45,06-02-2025 15:17,cart,,
user_28,08-03-2025 20:36,cart,tablet,
user_44,22-02-2025 08:32,home,tablet,
user_31,17-02-2025 05:41,checkout,tablet,44.48
user_41,14-02-2025 18:11,home,,76.11
user_21,02-03-2025 23:55,home,desktop,72.66
user_19,02-03-2025 07:26,checkout,mobile,96.42
user_17,30-01-2025 10:12,home,,
user_43,19-02-2025 09:18,checkout,,20.3
user_40,10-03-2025 20:28,checkout,,
user_18,19-02-2025 23:47,product,tablet,93.24
user_8,03-01-2025 15:03,product,desktop,
